Ativo_Independente,Ativo_Dependente,ADF-100,ADF-120,ADF-140,ADF-160,ADF-180,ADF-200,ADF-220,ADF-250,Total
BBSE3,BBDC3,-3.3179629148621768,-3.1176058677719207,-3.1015332636118758,-3.081703055332377,-3.4253137039284502,-3.9368999149663892,-4.567618415734835,-5.032108599146377,8
BBSE3,BBDC4,-3.2013994291211874,-2.9374667248360042,0,0,-3.0683314704668656,-3.5196302572546756,-4.276833584643441,-4.547268692776367,6
BBSE3,BRDT3,0,0,-2.9611943181931535,-3.3220932993820482,-4.054263749168567,-3.5856498978521154,-2.904310191993354,-3.025427264597772,6
BBSE3,BRFS3,0,-2.936610988965141,-3.233935184505982,-3.629236217564187,-3.142670613938731,0,-3.589398956163398,0,5
BBSE3,CPFE3,0,-3.0272353759370922,-3.24329844987843,-3.146908349862504,-3.2724182592977193,-3.995148627043271,-3.098135221866054,-3.205246704580887,7
BBSE3,CRFB3,-4.117349226042786,-4.315597188005028,-3.8702613400302934,-3.492942096622175,-2.9406197189215555,0,-2.969215287372901,0,6
BBSE3,EGIE3,-2.974192467942858,-3.4509091566395154,-3.3329858050010075,-3.702577807124718,-4.150962946009548,-3.8955973047792147,-4.260374439170143,-4.425858791716516,8
BBSE3,EMBR3,0,-3.325835249816716,-3.6812010472152985,-4.522687765784523,-3.2138750538861975,-3.44664687745733,-3.4051272678237705,0,6
BBSE3,ENGI11,0,-3.1569618342368058,-2.93525543834539,-3.5545329744777407,-3.070048967254174,-3.7580401961244942,-4.128398732137033,-3.9956807044269604,7
BBSE3,EZTC3,0,0,-3.0589339563569653,-3.18775380319663,-3.824413808778792,-3.385604076315243,-3.5439374504605388,-3.620378347297029,6
BBSE3,GOLL4,-3.1121961468907444,-2.969171235183318,0,-2.967511160460177,-3.5905101086152897,-3.7603428701027486,-3.6509754138451913,-3.8805164217901376,7
BBSE3,IGTA3,0,-2.959682263411362,-3.353467544740176,-3.6496838008405152,-4.013451196531774,-4.257627959022765,-4.989867717961157,-3.1339599668266445,7
BBSE3,IRBR3,-2.9861062136380574,-3.1807244740815093,-3.304471861877383,0,0,-3.1409074433436266,-2.9023576993801683,0,5
BBSE3,ITSA4,-2.998638430212717,-3.0047132535697925,-3.1479200740571995,-3.281427215631802,-3.686741247094707,-4.072628685362362,-4.741160340466222,-4.990333222157438,8
BBSE3,ITUB4,-3.271230441399862,0,0,-3.1436078145394712,-3.4356410758269846,-3.5174226587741044,-4.11680018763523,-4.184201333110329,6
BBSE3,LREN3,0,0,0,-3.1577563288831487,-3.9354194319195335,-3.7612831309255363,-3.9173565142676656,-3.1860786758097537,5
BBSE3,MRVE3,0,-3.211126263300041,-3.541980481434913,-3.0460453630641786,-3.3397776217873774,-3.579543152318517,-3.3983059249741374,0,6
BBSE3,MULT3,0,-3.018238823102323,-3.4554909029982346,-3.592741765057797,-4.068765547079776,-4.493790395697451,-5.1435303946639825,-3.421083656360326,7
BBSE3,SULA11,-2.8933382613251495,-2.921016314823902,-4.0046468124264525,0,0,0,-3.8321927729658354,-3.1195702373938783,5
BEEF3,CCRO3,0,0,-2.92411719179751,-3.389182743966722,-5.760232715343106,-3.070774527800814,-4.010450538435831,-3.788250225734685,6
BEEF3,COGN3,-3.8239651993709356,-4.012867331014329,-2.894997189513891,0,-4.188169338245684,0,-3.0199760358885683,-2.877006634012884,6
BEEF3,CPLE6,0,0,-3.172740463506257,-3.3317419603540563,-3.772627943721932,-3.4143988788432043,0,-3.036344807664072,5
BEEF3,FLRY3,-3.8311953620172132,-2.918484070880562,-3.137770037178411,-3.381227522020555,-3.74016215280147,-3.0659561138821054,0,0,6
BEEF3,IRBR3,-3.3437216258220497,-3.184035872011373,-3.2558010168175455,0,-3.034415016484642,-3.2477073066122832,-2.979406944512974,-7.258973397820897,7
BEEF3,LAME4,-3.408161722907022,-3.4342841981696544,-3.382807199225131,-3.298868840806843,-3.360236863978841,0,0,0,5
BEEF3,LCAM3,-4.047190107788011,-4.473708886375626,-5.267456072191747,-4.416101181517189,-3.285376838117072,-3.952097274926822,0,0,6
BEEF3,LREN3,0,0,0,-3.138244796488677,-4.215656920716472,-3.48072670624821,-2.9239694145675608,-2.9952728429249573,5
BEEF3,MGLU3,-3.157147071767711,-3.7436827458976705,-3.947009966757373,-3.5135813972479966,0,-3.7932968494056336,0,0,5
BEEF3,MULT3,0,0,0,-3.020782503571948,-3.920269830940298,-3.8196610298433344,-3.85644167414158,-3.6340638105899417,5
BEEF3,RADL3,-3.55750356481154,-3.916570821163868,-3.7935735118413976,-4.140799036685602,-4.136291284188327,-4.49117892164513,0,0,6
BEEF3,RENT3,-4.314134426907417,-4.765483381978859,-6.111550014072507,-4.376972732135076,-3.4433380008039505,-4.355185180962817,0,0,6
BPAC11,BRDT3,-4.332952068041804,-4.781629060932853,-4.888560550986978,-4.4385323460181,-4.078458893203388,-3.9104741571899115,-3.644934837318661,-2.989638816662456,8
BPAC11,CPFE3,0,0,-2.984758965723045,-4.252490858569094,0,-3.4752600147393844,-3.281261451759916,-3.4493677311257747,5
BPAC11,CRFB3,-3.439225801485232,-3.8546061624496133,-3.0805129167174026,-3.0685692914714147,0,-2.983864451658261,0,0,5
BPAC11,EGIE3,-3.2244063796260956,-3.5520442080928016,-3.614124074866874,-4.3624902696327,-4.1542831010356025,-4.621694560625843,-5.869717819764618,-3.4417442829942746,8
BPAC11,ENGI11,0,-2.9815367100402557,-3.178578005035262,-3.6460123332247223,0,0,-3.5678713998567058,-3.666052658962021,5
BPAC11,IRBR3,0,-3.068516595720218,-3.152568745667084,0,0,-3.129572096452057,-3.126551664338457,-7.55904099878324,5
BPAC11,JBSS3,-2.9665888964871376,-3.2458850956264027,-3.6952915701367703,-4.1272706483331065,-3.6029874703828915,-2.98279377144523,-3.835168774446085,-3.6282248798054706,8
BPAC11,LREN3,0,0,0,-2.9393162980589045,-3.698489205928492,-3.1230082534979466,-3.706149270133431,-2.8921405946099767,5
BPAC11,MULT3,0,0,0,-3.0316255894045296,-3.598964056028646,-3.656143876215409,-4.304761048067388,-3.597803303961968,5
BRAP4,BBDC3,-3.047268300822989,-3.304751198177666,0,0,-3.142098673325337,-3.095559425011663,-3.6805216258129088,-4.054510977080124,6
BRAP4,BBDC4,-3.042710199991485,-3.406883422600785,-3.025123407972997,0,-3.0148885948998165,-3.052996939793263,-3.5556234135484455,-3.7679601673912804,7
BRAP4,BRDT3,-3.5322189591159074,-2.8865940982250113,0,-3.1797088656573327,-4.312368108925799,-3.272679980074414,0,-4.791896781049056,6
BRAP4,BRML3,0,-3.167352950644701,0,0,-3.3648809671254263,-3.1106186920210748,-3.930326585884507,-3.8673237717413986,5
BRAP4,CMIG4,-3.285149901558083,-3.3367611483497894,0,0,0,-3.1617998678006174,-3.5078618361594502,-3.4865334895978304,5
BRAP4,CPFE3,0,-2.9025619151533513,0,0,-2.9093210000560648,-3.661443380035091,-2.983517163520678,-3.6987401550227266,5
BRAP4,CPLE6,-2.91655514200871,-3.152769744573181,-3.629789537985804,-3.852451134951872,-4.25433990159407,-3.85684871928137,-3.850585836886309,-4.405054527060013,8
BRAP4,CRFB3,-3.5317631608750184,-3.679190048811666,-3.9176409768688565,-3.57829310816763,-3.0866401553645546,0,-2.947819479226689,0,6
BRAP4,CYRE3,-3.2683563954255583,-3.6374710676041806,-3.151342950784202,-3.397800377972562,-3.7770099514275577,0,0,-3.2823650118296253,6
BRAP4,EGIE3,-3.700403827541085,-3.153815402202187,0,-3.063365451177979,-3.814341105512325,-3.0838304736755333,-3.750408942963144,-3.49784026302736,7
BRAP4,ENBR3,-4.124463025249418,-3.9368832244872665,-3.9495554666787065,-4.037749991263893,-4.508652641852935,-3.8861037444939077,-3.787448904167054,-3.86645087434726,8
BRAP4,GOLL4,0,-3.2302939208017203,-3.085603252172008,-3.261472757856302,-3.3795499101471287,0,-3.1144046764833226,-4.6906831550105315,6
BRAP4,HGTX3,-3.598544516286913,-3.5949660443649774,0,0,-3.007941220892253,0,-3.0601406217545013,-3.1912431605386438,5
BRAP4,IGTA3,0,0,0,-2.9540395505946893,-3.8233573031200603,-3.7001274233315846,-3.860871089322184,-4.1371476525895865,5
BRAP4,IRBR3,-3.4704961471540092,-3.4189453630151307,-3.290868076409718,0,-2.9853579894337536,-3.2311555879986398,-3.2389493757979197,-7.63320742988251,7
BRAP4,JBSS3,0,0,0,-3.2065063300063965,-3.456029083948265,-3.279937017360338,-4.239738755462458,-3.7254211145664384,5
BRAP4,LREN3,0,0,0,-3.124915554376054,-4.279428531606919,-3.2769231300117174,-3.381448855103592,-3.131113570603893,5
BRAP4,MULT3,0,0,-2.9568052791979227,-3.1508334305532464,-4.016131509123663,-3.811511816654386,-4.335283578718861,-3.6524049854922898,6
BRAP4,UGPA3,0,0,-3.0120211635491208,-3.0879596786403307,-3.7588476345776045,-2.9328151981413835,0,-3.3281248849176612,5
BRDT3,B3SA3,-3.2770865834466436,-3.391281228364949,-3.2953981774615837,-3.8459939640657694,0,0,-3.137434592869988,0,5
BRDT3,CSAN3,-3.1196258984934353,-3.0376884798214845,0,-3.016153406027582,0,-3.158913816302041,-2.941544160820163,0,5
BRDT3,CVCB3,0,0,-3.3049690915474415,-2.9820034087549403,-3.355676030434015,-3.50283432804396,-3.6715641043531018,-4.329312124119276,6
BRDT3,EGIE3,-3.613697508719485,-4.081210161960886,-3.9457302346453993,-4.507469019538263,-4.281245591199938,-4.755638173276632,-5.164515211928534,0,7
BRDT3,HYPE3,-2.987116586218976,-3.1454226908912832,-3.153938496748569,-3.1897769245057774,-3.775917768522993,-3.822645191385326,-3.0324760864203943,-4.342499908667482,8
BRDT3,IRBR3,-2.9377255500659847,-3.128457292720121,-3.368160861205946,0,0,-3.157422495591784,-2.9821202869787564,-3.5641096878973197,6
BRDT3,JBSS3,-3.447911880840565,-3.282884444841057,0,-3.2112841183807483,-4.01831595159198,-2.9632090374506954,-3.865307077999174,-3.682797263200918,7
BRFS3,BRDT3,-3.0340172190592916,-3.1457301220752987,-3.4654184983312604,-3.894309779858598,-5.148845650648585,-3.141041165040918,-3.5042662491123786,0,7
BRFS3,BRML3,-3.3033443521873584,-3.5960924054775205,-3.5953594031720026,0,-3.451611628716604,-3.662741472790441,-4.561111150183966,0,6
BRFS3,CRFB3,-3.131616273677261,-3.511612916527582,-2.981245565109688,-3.2422932534398154,-3.6224964066767344,-3.0727069531135043,-3.169586208046547,0,7
BRFS3,CVCB3,-3.1151575547928565,-3.128562938091913,-3.186255080153197,-3.2848720429949285,-4.150078123434168,0,0,-3.6613741704379144,6
BRFS3,EGIE3,-3.0810623971139526,-3.499149372844923,-3.785378126750308,-3.947893002998501,-4.014686522517949,0,-3.034324069275551,0,6
BRFS3,ENGI11,0,0,-3.126930296482178,-3.470040215327071,-3.916924910851857,-2.994209150393016,-4.523889630124075,-3.8711465997101033,6
BRFS3,IGTA3,-3.023186766413758,-3.303519489767405,-3.765428014086024,-4.005495459555296,-4.464305014141359,-3.6689363672626127,-4.387944249065342,0,7
BRFS3,IRBR3,-2.9121243594921933,-3.159212341678729,-3.298636910593563,0,-2.9992612303484285,-3.2202356965872534,-2.9315052416052674,0,6
BRFS3,JBSS3,0,-3.359864852753027,0,-3.1172424118500777,-2.962270370238068,-3.136889831124443,-3.1522961101436815,-3.0883344756164073,6
BRFS3,MULT3,-2.9410795827872183,-3.261950382512513,-3.762793575988179,-3.7451429170079673,-4.398642443261046,-3.922111614126265,-4.4719999282272775,0,7
BRFS3,YDUQ3,0,-3.3174183021163364,-3.497757284651447,-3.451757339285456,-3.3258391096712265,-3.2817250397823488,0,-2.93469074183606,6
BRKM5,BRDT3,-3.0376110402706873,0,-2.994232469075987,-3.2793297759760818,-4.411470724854046,-3.1370363443811344,0,-2.9884810361163474,6
BRKM5,CRFB3,-3.285896775180483,-3.7392029119661,-3.0024037588811257,-3.1445146747322097,-4.2354948446878975,-3.3058183026770087,-3.4735499209500413,0,7
BRKM5,IRBR3,0,-3.1186491131359597,-3.2342664807041914,0,0,-3.2011471780015373,-2.911671682021013,-3.3033073504179082,5
BRML3,CRFB3,-3.2289164312237095,-3.5133402627761576,0,-3.005607353684143,-3.2189597522431415,0,-3.0812701438328665,0,5
BRML3,EZTC3,-3.1766534216399283,-3.4181077522346146,-3.0686753677939738,-3.557199742943896,-4.4695529205549684,0,0,0,5
BRML3,FLRY3,-3.6137514294152338,-2.9687474296849268,-3.172891184431683,-3.5487446808414065,-4.360167003784283,0,0,0,5
BRML3,IRBR3,0,-3.075946982340422,-3.271485541805518,-2.9762478696609485,-3.2615373900737374,-3.7493092925053997,-3.125341044593773,-3.8350673946024068,7
BRML3,JHSF3,-3.477972410591766,-3.6838965385837086,-3.075641765387262,-3.8416156714024656,-2.9362445154875876,0,0,0,5
BRML3,TOTS3,-3.19227048879886,-3.759128701287313,-4.367222822062843,-3.928344575617215,-3.8594249707542114,0,0,0,5
BTOW3,CCRO3,0,0,0,-2.9327721094627517,-3.916989572311767,-3.13400856395965,-3.562398037238991,-3.2314016809706945,5
BTOW3,CIEL3,0,-2.944936917758652,-3.7541730174395522,-3.884387153436993,-4.272757257562006,-4.675369048668762,-3.947072442836358,0,6
BTOW3,COGN3,0,-3.284497574280652,-3.1974423414774713,-3.122032123806283,-3.0005770010319157,-3.2315285636440354,-3.16866159068523,-2.9409137344781175,7
BTOW3,CPLE6,0,-3.118735614958457,-3.297692520903802,-3.6239863514841906,-4.291518222164908,0,0,-3.165108214878445,5
BTOW3,CRFB3,-4.458740599497688,0,-3.5764800126519467,-3.4561978705658865,-3.3545561623868125,-2.9120795683460314,0,0,5
BTOW3,FLRY3,-4.743651569300476,-3.0039104897449493,-3.294940752845954,-3.589568873772724,-4.108433443780564,0,0,0,5
BTOW3,HGTX3,-3.391166042409417,-3.4302969773134535,-3.138716475267231,-3.165678319817583,-3.4307031334755367,0,0,-2.8754580109095524,6
BTOW3,IGTA3,0,0,0,-2.8814251614759367,-3.922552985284275,-3.4309296349150746,-3.4606535096659226,-4.106064487618851,5
BTOW3,IRBR3,-3.183621902668527,-3.1312314477266336,-3.2828711882053034,-2.9299327773209876,-2.928766949911126,-3.340789595163135,-2.9461870725416177,-4.146890654463549,8
BTOW3,LAME4,0,-3.006727368087929,-3.2169533974145925,-3.6159871898815137,-3.702755273317728,-3.954314386093194,-4.366266510684439,-3.416017120938795,7
BTOW3,LREN3,-3.0810107322584184,0,-3.0614402318924157,-3.320466418793859,-4.585714485447597,-3.202453437190916,-2.9714035299636614,-2.9993965650036376,7
BTOW3,MULT3,0,0,0,-3.090764613886455,-4.12386882596575,-3.6561777035639857,-3.83494628196502,-3.5355233736699723,5
BTOW3,QUAL3,-3.012802386966515,-4.1625009724898145,-4.760422827973208,-3.6211296657553413,-4.221553797085085,0,0,-3.0815685768157466,6
BTOW3,RADL3,-3.0710445347805733,-3.607983847302402,-3.2281831808054937,-3.6276315314994227,-3.5369276239336402,0,0,0,5
CCRO3,BRML3,0,0,-2.884696563340395,-3.162136959965032,-3.491070478144289,-3.7192477234702634,-4.778711842850744,0,5
CCRO3,IRBR3,0,-3.0900784527755,-3.258872709677193,-3.2454397598521236,-3.205708543175128,-3.2311089602675116,0,0,5
CCRO3,MGLU3,-2.995187514111786,-3.2847771501113594,-3.855359776596593,-4.393419163859897,-5.025199381529418,0,0,0,5
CCRO3,TOTS3,-3.1470424388873735,-3.655002970351913,-4.371227169133635,-4.38239788713132,-4.409630032714615,0,0,0,5
CIEL3,BRML3,0,0,0,-2.9064070935750452,-3.328006195616011,-3.5755116535602696,-4.117128255322674,-3.0546150141633515,5
CIEL3,BTOW3,0,-3.047174580302762,-3.58435728702388,-3.61333871011429,-3.8880120042921367,-4.6803673361736555,-3.4278825922556737,0,6
CIEL3,CCRO3,0,0,0,-2.8810724869168953,-3.710657312122556,-3.406469086165996,-3.4874540508122456,-3.5524797612009644,5
CIEL3,COGN3,0,0,0,-3.1857626053750634,-3.2111380579168625,-3.6419139279306525,-3.3663445164156576,-3.5538004711253612,5
CIEL3,FLRY3,-3.8645027521801874,-3.0273506324780652,-3.3690077414973745,-3.781212253791946,-4.0998011377912515,0,0,0,5
