Ativo_Independente,Ativo_Dependente,CoefAng -100p,Inters -100p,med_res -100p,desv_res -100p,Adf-Stats-100p,CoefAng -120p,Inters -120p,med_res -120p,desv_res -120p,Adf-Stats-120p,CoefAng -140p,Inters -140p,med_res -140p,desv_res -140p,Adf-Stats-140p,CoefAng -160p,Inters -160p,med_res -160p,desv_res -160p,Adf-Stats-160p,CoefAng -180p,Inters -180p,med_res -180p,desv_res -180p,Adf-Stats-180p,CoefAng -200p,Inters -200p,med_res -200p,desv_res -200p,Adf-Stats-200p,CoefAng -220p,Inters -220p,med_res -220p,desv_res -220p,Adf-Stats-220p,CoefAng -250p,Inters -250p,med_res -250p,desv_res -250p,Adf-Stats-250p
ENGI11,EGIE3,0.4483288235546702,21.852188891610805,1.7053025658242404e-15,0.7916603795931944,99,0.43765092494922525,22.460000914713167,-1.1250259982868252e-15,0.7874843959818799,99,0.4290942724277069,22.81220149027109,4.0602442043434294e-15,0.8018953771811006,99,0.3864415379289449,24.5947557854665,2.220446049250313e-15,0.9511410331171797,99,0.4180394732720773,22.904708235631926,-4.500103993147301e-15,1.1314963814831265,99,0,0,0,0,<90,0.5582375715981893,16.112420940145743,-4.134066826240583e-15,1.4429915161647306,95,0.5270388885922684,17.51020263319888,6.821210263296962e-16,1.4522280633868139,95
ENGI11,EMBR3,0,0,0,0,<90,0.30934322252201474,-6.378402815687365,-3.478698810492157e-16,0.5317995408758597,95,0.2873702870448984,-5.42688256622965,1.4337737346587736e-15,0.5568638232080982,95,0.2871739743276315,-5.41460172379377,5.440092820663267e-16,0.5334347332036035,99,0.3025902424512999,-6.121373587533604,-1.3026616822268502e-15,0.568153034744174,99,0.2578050591281611,-3.9458336458813523,6.394884621840901e-16,0.6902135106798114,99,0.09928092385197344,3.51416327850216,-7.428401328401047e-16,1.0240936216599998,95,0,0,0,0,<90
ENGI11,HYPE3,0.4605755827215286,10.45129287732324,3.1974423109204507e-16,1.2310766241527913,95,0,0,0,0,<90,0,0,0,0,<90,0.489798043141898,9.415930658710863,8.437694987151189e-16,1.2125681144785843,99,0.5340762775551501,7.256104237432609,-1.6776703483224587e-15,1.2875427425185426,99,0.5710351779004575,5.431296373399018,-3.9257486150745535e-15,1.3474395381915794,95,0.4726553521221484,10.04041835840668,1.7602081408602483e-15,1.4175864581978677,99,0.4541803527748904,10.849385735691634,1.0516032489249482e-15,1.4590488636452796,99
ENGI11,IGTA3,0,0,0,0,<90,0,0,0,0,<90,0.46311511792504434,13.424725933134198,3.552713678800501e-15,1.783358122261418,95,0.4431509532610388,14.26954171637447,-2.531308496145357e-15,1.7219234651503879,95,0.4824594762813356,12.414569305625228,-4.440892098500626e-15,1.7392774645103615,99,0.5831256248878521,7.614424024191564,-1.7408297026122454e-15,1.8033414807756558,99,0.513937141572979,10.813159195342074,-1.4210854715202005e-15,1.9395564983160423,99,1.0686199492361517,-13.582645244822494,5.286437954055145e-15,3.278158051204562,95
ENGI11,IRBR3,0.06418795490354566,4.0811920149255805,-1.7763568394002506e-16,0.592241825473515,95,0.0598845979002868,4.365271888354874,6.957397620984314e-16,0.591486367768747,95,0.07841715211912899,3.6359870341883758,2.5376526277146434e-17,0.6599634666344478,95,0,0,0,0,<90,0,0,0,0,<90,0.1155763931944261,2.386600950004655,-2.842170943040401e-16,1.161455095069922,95,0,0,0,0,<90,0.9777340959497061,-35.36266953915933,-1.3642420526593924e-15,5.122217243451843,99
ENGI11,ITSA4,0,0,0,0,<90,0.28397468347355415,-2.7796543328468637,-1.3322676295501878e-16,0.4976322229092451,95,0,0,0,0,<90,0.24016022607044668,-0.9517674184708529,1.2656542480726785e-15,0.5661998183451247,95,0,0,0,0,<90,0.26039055610392386,-2.0484264104513823,3.552713678800501e-17,0.6289835243456955,95,0.2281420029148329,-0.5398824111850651,-7.105427357601002e-16,0.625112123466301,95,0.22080639055388016,-0.21747882598761237,2.3021584638627247e-15,0.6007888043323935,95
ENGI11,LREN3,0,0,0,0,<90,0,0,0,0,<90,0,0,0,0,<90,0.25411299474393445,30.7790919131615,8.881784197001252e-16,2.148068363248405,95,0.3404551867997032,26.588543241397268,8.684411214845669e-16,2.32268023388502,99,0.5558482021381169,16.235964744897434,-1.8474111129762605e-15,2.6398154958004145,95,0.7068334541090003,9.11601239348154,2.583791766400364e-16,2.6947168746394956,95,0.9241185280345177,-0.4090621921502873,5.798028723802417e-15,2.8500626693809017,99
ENGI11,MRVE3,0,0,0,0,<90,0.3188420017399625,3.7116410829110595,-1.865174681370263e-15,0.874299265083644,95,0.31146357398748203,4.0910636890656065,-7.866723145915395e-16,0.9154360079263043,95,0.2748157970342895,5.638937454873622,-1.4210854715202005e-15,1.0440408973630826,95,0.29649710724393885,4.358823058960548,-1.7368822429691337e-15,1.2790618799766027,95,0,0,0,0,<90,0.5185201480747522,-6.3324756856789115,2.583791766400364e-16,1.686658520071017,99,0,0,0,0,<90
ENGI11,MULT3,0,0,0,0,<90,0,0,0,0,<90,0.2592346705319681,9.858822777935087,-7.105427357601002e-16,1.190319518334144,95,0.233080326880456,10.954827999819727,-1.021405182655144e-15,1.1972270423258797,95,0.2505414524314158,10.12317011335987,-2.9605947323337506e-16,1.1860266725383932,99,0.3107019839404205,7.259541052915065,-6.394884621840901e-16,1.2058884492937028,99,0.28542143209610477,8.41865460550821,5.81353147440082e-16,1.2661062787535458,99,0.6234901780057618,-6.445274453490175,3.183231456205249e-15,2.069407722676524,99
ENGI11,YDUQ3,0.8629651989872071,-9.078212430372364,-8.171241461241152e-16,2.4750644810107056,95,0,0,0,0,<90,0,0,0,0,<90,0,0,0,0,<90,0.9732680541817301,-13.694664794269947,-5.5659180967874514e-15,2.340378172277934,95,0.9642983803520023,-13.30992761811418,-5.009326287108706e-15,2.263731015173956,99,0.918057976429973,-11.181397460493152,-2.1316282072803005e-15,2.3366034988832047,99,1.3726698927248109,-31.099038559679585,7.16227077646181e-15,3.329674029058401,99
